#"Step","Potential Energy (kJ/mole)"
4360,-14.3367797482
4370,-14.6118028497
4380,-13.8696501563
4390,-14.2506785198
4400,-15.0214787862
4410,-15.4271584343
4420,-15.6429763472
4430,-15.4360102821
4440,-16.384498114
4450,-17.0305382501
4460,-17.2710336324
4470,-16.932256115
4480,-16.7895525075
4490,-17.6010606755
4500,-17.9750755144
4510,-18.028000377
4520,-17.6693496637
4530,-17.5783050969
4540,-18.6667442739
4550,-19.1127784162
4560,-19.259156388
4570,-19.3716776442
4580,-19.7109101283
4590,-20.2884501302
4600,-20.2902538832
4610,-19.6611404492
4620,-19.4118083497
4630,-19.0256556363
4640,-19.6344400434
4650,-19.795130146
4660,-19.8022432688
4670,-19.8365501486
4680,-19.7850204223
4690,-20.1606377717
4700,-20.2443184153
4710,-19.445750363
4720,-18.0071506914
4730,-17.2112300307
4740,-17.9556980156
4750,-19.0717998967
4760,-19.544027799
4770,-19.3793952283
4780,-18.5534020881
4790,-17.9920644775
4800,-17.7367651331
4810,-17.9598984898
4820,-18.4638318738
4830,-19.000392475
4840,-19.6964159283
4850,-20.0053433799
4860,-20.0908776682
4870,-20.205061265
4880,-20.0036165231
4890,-19.8565859141
4900,-19.8273127895
4910,-19.390480074
4920,-19.4689527948
4930,-19.5825334206
4940,-19.7230360306
4950,-20.3362956337
4960,-20.5334432811
4970,-20.815041169
4980,-20.8812184742
4990,-20.7193956966
5000,-20.6741169521
5010,-20.1473458391
5020,-20.7443915686
5030,-20.4498174035
5040,-19.8362790617
5050,-20.3009577505
5060,-19.6899480775
5070,-19.6960196866
5080,-19.0126624727
5090,-18.1560607393
5100,-19.0231399532
5110,-17.2695727415
5120,-16.8835253777
5130,-17.2159885427
5140,-16.5709562477
5150,-17.0006218092
5160,-15.7782531331
5170,-16.1866791529
5180,-17.0539471589
5190,-16.9291750931
5200,-17.1808518962
5210,-16.7661509849
5220,-17.7324524736
5230,-19.1585722881
5240,-18.3590388032
5250,-18.3252696338
5260,-18.9510706322
5270,-19.4208227064
5280,-19.5552440829
5290,-18.8690707004
5300,-18.8818986143
5310,-19.0381392649
5320,-18.4170461111
5330,-17.9775107231
5340,-17.215947671
5350,-17.7381430076
5360,-17.1540374372
5370,-15.2672958857
5380,-15.3671520306
5390,-16.1520175258
5400,-14.782304098
5410,-13.3655617184
5420,-13.432548899
5430,-15.2692574095
5440,-16.4844441772
5450,-14.2683087851
5460,-14.6590313205
5470,-16.6934473258
5480,-17.0942714171
5490,-15.0480085144
5500,-14.3599341401
5510,-16.8556970397
5520,-17.6141895235
5530,-16.0472946594
5540,-15.351475012
5550,-17.2077837033
5560,-19.1277340249
5570,-17.775953166
5580,-16.9119357909
5590,-18.9958256833
5600,-19.7510688225
5610,-17.2778096931
5620,-15.417809746
5630,-16.4308337206
5640,-17.3208316536
5650,-14.6866138691
5660,-12.1410730487
5670,-13.0114043441
5680,-13.971071573
5690,-11.9549859242
5700,-11.7996084957
5710,-15.1622839938
5720,-15.9205016538
5730,-13.6138384814
5740,-13.8821588716
5750,-16.4129667803
5760,-16.2814985861
5770,-13.7298077178
5780,-14.7245944292
5790,-18.4161020995
5800,-19.271598201
5810,-16.5711456725
5820,-15.6306994109
5830,-18.1597023655
5840,-18.4196405761
5850,-15.7320024583
5860,-15.2901248757
5870,-18.3443703827
5880,-19.2735928581
5890,-17.5567981916
5900,-17.0706527271
5910,-19.0655409553
5920,-19.8521714982
5930,-17.2984279702
5940,-15.4342384093
5950,-17.1733083669
5960,-18.3305079451
5970,-16.0581408106
5980,-14.6325363751
5990,-15.600889171
6000,-16.9230034036
6010,-15.7170823857
6020,-14.0458464764
6030,-15.382484525
6040,-17.2410262025
6050,-17.1078335016
6060,-15.4805289248
6070,-15.8984206648
6080,-18.1657684579
6090,-18.2363063793
6100,-16.7199315267
6110,-17.1651005706
6120,-19.185627082
6130,-19.4217224125
6140,-17.8081652726
6150,-18.1419493858
6160,-20.0409740484
6170,-19.1243121234
6180,-16.9463430233
6190,-17.9280752044
6200,-19.3483475913
6210,-19.1486217422
6220,-17.4518142946
6230,-16.8546537717
6240,-19.0258024372
6250,-18.5563817309
6260,-17.5062452819
6270,-17.6614538389
6280,-19.237255709
6290,-19.9252663804
6300,-18.8728985484
6310,-19.1280467357
6320,-20.4326642666
6330,-20.1051203762
6340,-18.3100858676
6350,-17.7587215018
6360,-18.7658856922
6370,-18.8625817546
6380,-17.4459813796
6390,-18.7304289541
6400,-19.9623972806
6410,-19.3954200179
6420,-19.1306261059
6430,-18.4043984236
6440,-20.5252459254
6450,-20.0985058183
6460,-17.3092062776
6470,-18.1312879485
6480,-19.0257870897
6490,-19.631407406
6500,-18.0593307738
6510,-16.7548362577
6520,-19.0636270019
6530,-18.3548568073
6540,-17.1464340728
6550,-17.7579368859
6560,-17.4256050375
6570,-18.1173900265
6580,-16.7233932173
6590,-15.3655087089
6600,-17.4828374429
6610,-17.1572724117
6620,-16.5383112118
6630,-16.1050607576
6640,-15.9339678921
6650,-17.4013009565
6660,-16.4840710639
6670,-16.0406432086
6680,-18.1133330461
